Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE,,,,,,,,,,,,,,,,,,,,,1.07,1.077571429,1.085142857,1.092714286,1.100285714,1.107857143,1.115428571,1.123,1.130571429,1.138142857,1.145714286,1.153285714,1.160857143,1.168428571,1.176,1.141727273,1.107454546,1.073181818,1.038909091,1.004636364,0.970363636,0.936090909,0.901818182,0.867545455,0.833272727,0.799,0.7645,0.73,0.7435,0.757,0.831444444,0.905888889,0.980333333,1.054777778,1.129222222,1.203666667,1.278111111,1.352555556,1.427,1.538,1.544,1.581,1.673,,,
IS,,,,,,,,,,,,,,,,,,,,,0.108,0.1088,0.1096,0.1104,0.1112,0.112,0.123,0.134,0.145,0.156,0.167,0.167,0.167,0.1665,0.166,0.1655,0.165,0.1645,0.164,0.1635,0.163,0.164,0.165,0.165,0.165,0.181358333,0.197716667,0.214075,0.230433333,0.246791667,0.26315,0.278675,0.294,0.2911,0.2754,0.2795,0.26,0.29,0.29,0.29,0.29,0.29,0.29,,,
IT,,,,,,,,,,,41.6,42.13587143,42.67174286,43.20761429,43.74348571,44.27935714,44.81322857,45.3471,45.88097143,46.41484286,46.94871429,46.37698571,45.80525714,45.23352857,44.6618,44.09007143,43.51634286,42.89261429,42.30311905,41.71362381,41.12412857,41.62431111,42.12449365,42.62467619,43.12485873,43.62504127,44.12522381,44.62540635,45.12558889,45.0647,45.05253333,43.38774902,41.72296471,40.0581804,38.39339609,36.68161178,35.04899414,33.4163765,53.56205556,33.59342692,33.70095214,33.80847735,33.91600256,33.98352778,33.97182222,33.96011667,33.86841111,33.77670556,33.685,33.845,33.818,33.75112,33.783,,,
LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3472,4.084,3.8208,3.5576,3.2944,3.0312,2.768,2.6661,2.5642,2.4623,2.3604,2.3122,2.264,1.8546,1.4452,1.0358,0.6264,0.5368,0.4472,0.3576,0.3818,0.3079,0.259,0.25439,0.327785,0.40118,0.35483,0.30036,,,
LU,,,,,,,,,,,0.0348,0.03634,0.03788,0.03942,0.04096,0.0425,0.04194,0.04138,0.04082,0.04026,0.0397,0.04516,0.05062,0.05608,0.06154,0.067,0.066,0.065,0.064,0.063,0.062,0.061,0.06,0.059,0.058,0.057,0.05795,0.0589,0.05985,0.0608,0.05942,0.05804,0.05666,0.05528,0.0539,0.05252,0.05114,0.04976,0.04838,0.047,0.0476,0.0463,0.0446,0.0431,0.046,0.0448,0.0444,0.0456,0.0522,0.0493,0.0478,0.04603,0.04774,,,
LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406186667,0.383073333,0.35996,0.336846667,0.313733333,0.29062,0.267506667,0.2445,0.23692,0.22934,0.22176,0.21418,0.2066,0.2288,0.3949,0.2752,0.3691,0.2482,0.236,0.1685,0.1767,0.185857867,0.181117561,0.183349,0.178629,0.181211,0.18445,0.172334,,,
MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0067,0.0066,0.0065,0.0064,0.0063,0.0062,0.0062,0.006,0.006,0.0061,0.006,0.0059,0.0058,0.0062,0.0055,0.0057,0.0056,0.0055,0.0052,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,,
MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.963,1.85265,1.7423,1.63195,1.5216,1.488954546,1.456309091,1.423663636,1.391018182,0.874,0.866,0.864,0.852,0.852,0.854,0.854,0.861,0.865,0.851,0.847,0.85,0.839,0.836,0.84,0.842,0.84,0.837,0.839,0.846,0.846,0.846,,,
MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.555,1.33925,1.1235,0.90775,0.692,0.6626,0.6332,0.807733333,0.982266667,1.1568,0.854,0.5512,0.79915,1.0471,0.909,0.7709,0.6328,0.4947,0.677741333,0.860782667,1.043824,1.598767,2.15371,1.59918,1.43985,1.56739,2.1715,,,
MT,,,,,,,,,,,,,,,,,,,,,0.02,0.0224,0.0248,0.0272,0.0296,0.0269,0.02654,0.02618,0.02582,0.02546,0.0251,0.02474,0.02438,0.02402,0.02366,0.0233,0.024828571,0.026357143,0.027885714,0.029414286,0.030942857,0.032471429,0.034,0.03456,0.0346,0.03568,0.03624,0.0368,0.0358,0.0317,0.0409,0.0381,0.0401,0.0461,0.045,0.0418,0.0419,0.046,0.042734617,0.040733787,0.041297464,0.039625943,0.036663004,,,
