Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0488,0.0483,0.191,0.378,0.75,1.4,1.85,3.22,6.88,9.13883730776798,10.9350258080278,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.6499951676815,55.0699934418411,59.8663,63.2073404784561,66.8349594911035,69.0879154723892,69.8929706543154,72.2383733920483,75.6712066931757,78.11584474,78.49426371,83.17066333,85.0102229,86.26968886,,
HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0972,0.268,0.514,0.859,1.73,3.27,4.41,6.64488254374396,11.5585731811648,17.76,22.75,30.91,33.13999939,37.97999954,41.44,44.24,50.58,56.55,57.7899789891444,61.9399731527956,66.7476,68.5678992528467,69.8450359238281,72.6972696701463,67.0961920368478,75.2946259897258,79.0797836757554,78.32090004,81.25396608,82.07155532,83.24117599,83.63240029,,
HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00338,0.0484,0.193,0.484,0.677,0.969,1.94,3.89,5.86,6.99967635062916,14.5285543028277,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.0199878861296,70.579998153838,72.6439,75.6531974544103,72.8347370323805,79.2594121273057,76.7505471201922,76.0743606365063,80.3716936050482,84.77115202,88.64083466,89.14282688,91.4500713,93.77898628,,
IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0568,0.17,0.281,0.558,1.11,2.2,4.09,8.1,10.9,17.8504672405807,23.1388121904053,25.85,34.31,36.99,41.61,54.82,61.158324551,65.34,67.38,69.85,74.8899729670944,76.919992540097,78.2477,83.4917223351728,83.4947916666667,83.5,84.1140070623844,87.0001401148942,87.0000552425146,91.99989097,93.50610352,95.03690338,96.8660965,97.18769836,,
IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.505,1.54,2.67,6.79,11.2,14.8,27.5,36.3,41.3,44.470533824288,49.3929953676426,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39,94.8196868008949,96.2097995545657,96.5468,98.1580233097118,98.19999695,98.23999786,98.2552011867973,99.0109539916991,99.5049411693787,99.5327519,99.68701957,97.58339691,97.94860077,98.209198,,
IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,0.0351,0.0701,0.122,0.192,0.524,1.02,2.28,4.56,14.4,23.1108742441037,27.2221169788811,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.3899983018814,55.829997993283,58.4593,55.6384602242293,58.1417349568747,61.3242527666303,63.0773469984291,74.3871829234822,67.8507102874836,70.48342785,74.8623274,85.06074504,87.0278292,89.2207202,,
LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,36.5152298938015,45.1168526483592,59.4707106749926,58.8096918372148,64.0074481394199,63.37139893,64.21420288,65.0802002,70,75,80,85,89.40769958,93.80000305,95.20999908,96.6411972,98.09390259,99.54660034,,93.14610291,94.34999847,95.56939697,97.88069916,98.13230133,98.2641983,,
LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.277,0.978,1.97,2.92,6.42706749477765,7.17935699381369,17.69,25.91,31.23,36.22,43.9,49.9,55.22,59.76,62.12,63.6399774002179,67.2299893276414,68.4529,72.1335378644566,71.3780590101754,74.3766455618662,77.6152565124514,79.7225827680518,81.5818683764046,83.05554724,86.93054425,87.72420219,88.50287484,89.16116293,,
LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.153,0.302,0.496,1.59,5.55,7.14,11.7,17.4,22.8873279731211,36.163422506306,39.84,54.55,65.88,70,72.51,78.92,82.23,87.31,90.62,90.0298585646936,91.9499237417387,93.7765,94.6702052774766,96.3767141704759,98.1366986657616,97.3629603241751,97.061298705829,97.120635693272,98.45962893,98.66086333,98.24203749,99.34785707,98.7606147,99.12902211,
