"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Luxembourg","LU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.18","0.2","0.17","0.16","0.21","0.24","0.16","0.24","0.36","0.28","0.38","0.35","0.29","0.24","0.31","0.32","0.38","0.42","0.45","0.43","0.4","0.34","0.48","0.64","0.68","0.75","0.79","1.04","1.08","1.19","1.58","1.5","1.85","2.55","3.03",""
"Latvia","LV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.34","4.08","3.82","4.69","5.95","5.49","3.54","5.73","8.58","5.97","6.33","5.93","5.22","4.6","6.12","6.4","5.03","4.99","5.94","6.85","6.81","5.98","7.44","6.01","4.23","4.05","5.37","8.85","4.74","4.34","5.62","5.5","6.14","8.79","8.18",""
"Monaco","MC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moldova","MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","0.36","0.33","0.53","0.47","0.59","0.78","0.85","0.91","1.04","1.12","1.06","1.05","0.96","0.96","0.92","0.94","0.96","1","0.97","0.94","0.8","0.61","0.8","0.76","0.63","0.53","0.66","0.64","0.75","0.74","0.83","1.15","1.78","",""
"North Macedonia","MK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","3","2.7","2.02","2.93","3.34","2.88","3.34","3.87","4.97","4.35","2.99","3.09","4.71","5.07","4.75","5.14","3.14","2.67","4.22","7.68","4.31","3.35","5.23","4.38","6.73","6.71","4.12","6.56","4.1","4.91","5.45","5.21","7.2","",""
"Malta","MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0.04","0.05","0.06","0.08","0.09","0.1","0.12","0.44","0.5","0.63","0.89","1.35","2.02","2.67","2.79","3.13","3.01","3.7","3.62","3.63","3.81","",""
"Montenegro","ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.71","13.28","9.8","10.91","18.52","20.97","9.21","12.01","21.96","15.77","12.85","16.34","9.49","18.45","15.24","14.92","18.56","14.61","20.56","",""
"Netherlands","NL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.29","1.5","1.52","1.53","1.52","1.5","0.94","1.44","1.47","1.52","1.5","1.48","1.49","1.48","1.59","1.49","1.82","1.92","2.01","1.74","2.05","1.98","1.78","2.41","2.85","2.89","3.02","3.17","3.75","4.82","5.28","7.3","9.01","9.61",""
"Norway","NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.44","43.53","45.36","43.54","41.65","44.47","39.19","39.14","39.5","39.59","46.62","38.54","44.58","33.55","32.76","40.08","35.04","41.89","39.36","36.26","32.04","38.36","42.28","36.39","41.71","46.99","44.34","41.71","41.75","40.29","47.15","46.76","48.51","48.17","49.97",""
"Poland","PL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.12","0.12","0.13","0.13","0.15","0.16","0.16","0.17","0.21","0.2","0.21","0.23","0.23","0.18","0.22","0.23","0.22","0.27","0.28","0.34","0.42","0.5","0.63","0.79","0.96","1.23","1.36","1.53","1.26","1.55","1.78","1.9","2.63","3.47","3.87",""
"Portugal","PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.77","4.68","2.3","4.22","5.27","3.82","6.65","5.65","5.23","2.96","4.38","5.4","3.12","5.95","3.94","2.45","5.17","5.63","5.22","6.49","10.32","9","7.47","11.67","12.75","9.46","12.57","8.49","11.55","10.77","12.62","13.02","11.27","14.87","17.67",""
